stationId,obsTime,WDSD,TEMP,24R
466881,2023-09-01 00:00:00,1.7,25.8,3.5
466881,2023-09-01 00:10:00,1.5,25.7,0
466881,2023-09-01 00:20:00,0.5,25.7,0
466881,2023-09-01 00:30:00,1,25.6,0
466881,2023-09-01 00:40:00,0.9,25.7,0
466881,2023-09-01 00:50:00,0.5,25.7,0
466881,2023-09-01 01:00:00,1.5,25.5,0.5
466881,2023-09-01 01:10:00,0.8,25.5,0.5
466881,2023-09-01 01:20:00,0.9,25.3,0.5
466881,2023-09-01 01:30:00,0.8,25.2,0.5
466881,2023-09-01 01:40:00,0.8,25.2,0.5
466881,2023-09-01 01:50:00,0.9,25.4,0.5
466881,2023-09-01 02:00:00,0.5,25.2,0.5
466881,2023-09-01 02:10:00,0.2,25.3,0.5
466881,2023-09-01 02:20:00,0.7,25.3,0.5
466881,2023-09-01 02:30:00,1,25.5,0.5
466881,2023-09-01 02:40:00,1.2,25.3,0.5
466881,2023-09-01 02:50:00,0.4,25.2,0.5
466881,2023-09-01 03:00:00,1.6,25.2,0.5
466881,2023-09-01 03:10:00,1.3,25.2,0.5
466881,2023-09-01 03:20:00,0.8,25.1,0.5
466881,2023-09-01 03:30:00,0.5,25.1,0.5
466881,2023-09-01 03:40:00,0.7,25.2,1
466881,2023-09-01 03:50:00,2.2,25.2,1
466881,2023-09-01 04:00:00,1.8,25.4,1
466881,2023-09-01 04:10:00,1.9,25.4,1
466881,2023-09-01 04:20:00,1.5,25.4,1
466881,2023-09-01 04:30:00,1.3,25.6,1
466881,2023-09-01 04:40:00,1.3,25.4,1
466881,2023-09-01 04:50:00,1.3,25.4,1
466881,2023-09-01 05:00:00,1.6,25.4,1
466881,2023-09-01 05:10:00,0.7,25.6,1
466881,2023-09-01 05:20:00,0.1,25.3,1
466881,2023-09-01 05:30:00,0.5,25.2,1
466881,2023-09-01 05:40:00,0.4,25.2,1
466881,2023-09-01 05:50:00,0.3,25.2,1
466881,2023-09-01 06:00:00,0.1,25.3,1
466881,2023-09-01 06:10:00,0.3,25.4,1
466881,2023-09-01 06:20:00,0.2,25.9,1
466881,2023-09-01 06:30:00,0.4,26.2,1
466881,2023-09-01 06:40:00,0.7,26.9,1
466881,2023-09-01 06:50:00,0.5,27.7,1
466881,2023-09-01 07:00:00,0.9,28,1
466881,2023-09-01 07:10:00,1.2,28.2,1
466881,2023-09-01 07:20:00,1.3,28.4,1
466881,2023-09-01 07:30:00,1.9,28.8,1
466881,2023-09-01 07:40:00,2.7,28.8,1
466881,2023-09-01 07:50:00,1.7,29.6,1
466881,2023-09-01 08:00:00,1.4,29.7,1
466881,2023-09-01 08:10:00,3.1,29.9,1
466881,2023-09-01 08:20:00,2.9,29.6,1
466881,2023-09-01 08:30:00,2.9,30,1
466881,2023-09-01 08:40:00,3,29.6,1
466881,2023-09-01 08:50:00,2.9,30.6,1
466881,2023-09-01 09:00:00,3.6,30.4,1
466881,2023-09-01 09:10:00,3.9,29.6,1
466881,2023-09-01 09:20:00,3.4,29.7,1
466881,2023-09-01 09:30:00,3.4,30.7,1
466881,2023-09-01 09:40:00,2.8,31.2,1
466881,2023-09-01 09:50:00,2.5,31.1,1
466881,2023-09-01 10:00:00,2.5,31.6,1
466881,2023-09-01 10:10:00,2.5,32.1,1
466881,2023-09-01 10:20:00,3.7,32.1,1
466881,2023-09-01 10:30:00,2.3,32.4,1
466881,2023-09-01 10:40:00,2.7,32.7,1
466881,2023-09-01 10:50:00,2.5,33,1
466881,2023-09-01 11:00:00,3.2,32.9,1
466881,2023-09-01 11:10:00,2.1,33.1,1
466881,2023-09-01 11:20:00,2.1,33.3,1
466881,2023-09-01 11:30:00,2.2,33.3,1
466881,2023-09-01 11:40:00,3.3,33.3,1
466881,2023-09-01 11:50:00,2.5,32.9,1
466881,2023-09-01 12:00:00,2.7,32,1
466881,2023-09-01 12:10:00,3.7,32.7,1
466881,2023-09-01 12:20:00,3.9,33,1
466881,2023-09-01 12:30:00,2.7,33.2,1
466881,2023-09-01 12:40:00,4,32.5,1
466881,2023-09-01 12:50:00,3.6,33.3,1
466881,2023-09-01 13:00:00,3.9,32.6,1
466881,2023-09-01 13:10:00,3.1,32.9,1
466881,2023-09-01 13:20:00,3.5,33.2,1
466881,2023-09-01 13:30:00,2.8,33.5,1
466881,2023-09-01 13:40:00,3.6,33,1
466881,2023-09-01 13:50:00,3.6,32.8,1
466881,2023-09-01 14:00:00,4.3,32.3,1
466881,2023-09-01 14:10:00,3.8,32.4,1
466881,2023-09-01 14:20:00,3.8,31.7,1
466881,2023-09-01 14:30:00,3.6,31.3,1
466881,2023-09-01 14:40:00,3.1,31.2,1
466881,2023-09-01 14:50:00,2.6,30.8,1
466881,2023-09-01 15:00:00,2.2,30.8,1
466881,2023-09-01 15:10:00,2.4,29.3,1
466881,2023-09-01 15:20:00,2.3,29.5,1
466881,2023-09-01 15:30:00,1,29.9,1
466881,2023-09-01 15:40:00,1.5,30.7,1
466881,2023-09-01 15:50:00,3.4,30.8,1
466881,2023-09-01 16:00:00,4,30.1,1
466881,2023-09-01 16:10:00,3.9,29.9,1
466881,2023-09-01 16:20:00,3.9,30.2,1
466881,2023-09-01 16:30:00,3.7,29.5,1
466881,2023-09-01 16:40:00,3,29.1,1
466881,2023-09-01 16:50:00,2.2,28.8,1
466881,2023-09-01 17:00:00,1.9,28.9,1
466881,2023-09-01 17:10:00,2.2,29.2,1
466881,2023-09-01 17:20:00,1.5,29.3,1
466881,2023-09-01 17:30:00,2.2,28.3,1
466881,2023-09-01 17:40:00,1.2,28.2,1
466881,2023-09-01 17:50:00,2,27.7,1
466881,2023-09-01 18:00:00,2.2,27.1,2.5
466881,2023-09-01 18:10:00,2.1,26.9,2.5
466881,2023-09-01 18:20:00,0.9,26.6,3.5
466881,2023-09-01 18:30:00,0.5,26.6,3.5
466881,2023-09-01 18:40:00,0.4,26.7,3.5
466881,2023-09-01 18:50:00,0.8,26.9,3.5
466881,2023-09-01 19:00:00,1.1,26.9,3.5
466881,2023-09-01 19:10:00,0.8,26.9,3.5
466881,2023-09-01 19:20:00,0.7,26.6,3.5
466881,2023-09-01 19:30:00,0.3,26.4,3.5
466881,2023-09-01 19:40:00,1,26.4,3.5
466881,2023-09-01 19:50:00,1.1,26.5,3.5
466881,2023-09-01 20:00:00,0.7,26.4,3.5
